quant
26
188
158
121
105
123
105
126
88
80
93
95
130
114
107
122
199
163
129
209
158
110
117
114
105
105
115
116
103
73
97
92
74
103
83
67
53
71
60
60
77
65
73
40
42
51
68
66
44
45
54
50
56
43
57
39
34
24
32
39
25
40
31
30
28
35
51
30
40
21
28
21
17
54
39
42
27
18
22
42
24
21
27
22
15
12
20
19
17
20
16
8
12
17
17
20
20
17
14
8
6
13
13
11
11
13
6
15
10
16
11
8
7
4
2
6
4
11
10
10
8
6
4
3
4
1
5
2
2
6
3
4
2
3
1
1
4
1
6
3
1
2
6
4
1
1
5
3
3
2
1
3
3
1
3
4
1
7
4
1
2
4
4
5
3
2
3
3
4
4
2
9
7
8
5
1
2
18
5
10
3
8
7
1
2
5
5
4
7
2
10
9
8
13
8
13
14
17
18
12
10
7
12
9
11
14
14
10
10
9
15
15
12
10
10
10
6
10
14
16
16
9
13
9
17
16
15
13
17
6
15
19
14
17
16
16
15
14
20
18
12
14
9
14
10
12
9
15
17
10
12
45
39
28
45
41
30
27
22
16
21
30
31
39
15
20
27
16
13
23
27
20
38
28
29
37
35
42
23
16
26
32
36
41
34
46
32
50
42
56
45
53
50
29
49
50
61
57
38
57
37
44
71
75
51
39
61
57
40
50
61
57
52
41
35
58
73
78
81
54
88
78
93
114
87
89
62
52
63
72
74
69
50
41
53
68
43
80
194
72
73
46
45
53
78
85
84
44
45
51
127
226
168
146
88
43
232
129
94
64
53
46
39
361
212
232
191
163
123
152
101
108
97
166
175
135
121
155
352
220
218
250
164
159
145
155
167
173
161
139
99
124
149
116
139
111
87
109
106
115
112
95
119
114
78
63
82
73
84
89
69
57
88
79
61
73
61
53
48
58
64
51
50
38
44
40
48
50
33
35
29
24
22
15
79
44
33
39
32
18
13
36
35
25
14
18
24
20
20
11
22
12
12
15
20
12
24
12
16
18
9
22
22
17
18
19
17
9
14
10
15
19
28
10
1
9
7
3
7
13
6
7
8
6
5
2
5
5
3
7
2
0
4
4
5
5
0
5
5
4
5
4
6
2
15
5
6
2
2
2
4
6
0
1
1
4
2
2
3
4
10
5
2
1
2
5
2
2
3
3
6
3
2
12
7
20
6
3
8
20
3
9
7
14
30
18
10
8
11
10
11
4
11
5
16
14
7
7
30
19
15
15
15
14
14
8
8
7
10
11
10
7
12
11
15
11
12
5
8
12
5
13
12
16
11
12
15
12
8
10
10
18
14
11
19
16
17
19
15
14
19
16
22
16
19
18
16
5
10
12
9
20
17
17
19
62
40
26
39
30
21
38
14
20
17
35
13
19
25
14
24
18
42
36
26
30
14
31
23
30
33
23
24
28
20
37
57
42
31
30
28
44
39
36
44
42
27
35
39
30
50
48
29
45
35
53
48
54
55
51
38
36
52
78
46
61
89
70
71
76
59
95
70
60
41
89
91
111
113
103
76
61
73
56
75
68
84
63
63
38
54
61
254
95
53
67
46
54
63
61
65
52
49
49
45
395
247
198
72
98
76
73
58
52
43
69
58
41
51
321
209
169
149
136
135
129
87
387
271
234
210
190
209
227
216
176
126
149
157
130
322
273
193
155
153
177
134
101
129
152
112
99
116
95
100
118
89
69
85
123
89
76
84
75
68
48
63
68
77
68
56
45
33
56
100
87
86
69
42
43
38
42
44
58
48
44
24
56
54
46
53
54
38
52
28
26
34
29
17
25
20
42
38
43
50
32
31
32
26
32
26
23
27
24
18
18
7
15
10
11
12
9
7
13
13
16
5
14
7
5
8
14
20
20
8
12
10
4
5
11
3
5
7
6
3
9
4
2
4
2
2
1
2
4
4
2
4
10
3
5
2
6
5
1
6
3
4
8
2
2
4
1
4
8
7
3
1
5
3
2
3
2
3
3
3
13
15
8
11
4
1
5
7
3
6
1
8
19
5
7
4
6
4
3
3
3
13
5
5
3
11
25
27
9
9
14
18
7
8
9
10
11
11
9
10
13
7
14
10
21
11
12
12
12
15
6
14
3
10
10
13
11
15
21
12
12
18
22
16
13
17
9
15
22
27
39
25
26
22
18
16
13
15
28
21
14
16
77
62
63
59
54
36
39
47
22
47
30
41
39
39
40
60
45
47
47
33
50
45
43
42
42
38
51
40
42
54
64
94
88
68
64
51
58
65
89
44
57
98
76
108
84
103
88
72
92
85
86
101
113
94
92
143
94
102
108
134
101
82
63
109
132
126
143
111
103
96
121
152
174
146
123
153
115
103
121
86
103
112
103
67
67
47
97
328
139
61
79
76
93
86
114
90
70
67
93
94
101
114
120
99
77
210
105
570
293
250
83
85
64
65
83
85
64
65
65
